age,edu,edunumber,gender,gov,marriage,occupation,relation,skin,workhour,native-country,income
3,1,13,1,6,3,9,4,1,4,1,0.00 
5,1,13,1,2,1,5,3,1,2,1,0.00 
3,4,9,1,1,2,7,4,1,4,1,0.00 
5,3,7,1,1,1,7,3,5,4,1,0.00 
2,1,13,2,1,1,6,1,5,4,13,0.00 
3,12,14,2,1,1,5,1,1,4,1,0.00 
4,9,5,2,1,6,3,4,5,2,19,0.00 
5,4,9,1,2,1,5,3,1,5,1,1.00 
3,12,14,2,1,3,6,4,1,5,1,1.00 
4,1,13,1,1,1,5,3,1,4,1,0.00 
3,2,10,1,1,1,5,3,5,8,1,1.00 
3,1,13,1,6,1,6,3,2,4,8,0.00 
2,1,13,2,1,3,9,2,1,3,1,0.00 
3,7,12,1,1,3,4,4,5,5,1,1.00 
4,8,11,1,1,1,2,3,2,4,1,0.00 
3,10,4,1,1,1,9,3,3,5,21,1.00 
2,4,9,1,2,3,9,2,1,4,1,0.00 
3,4,9,1,1,3,8,6,1,4,1,0.00 
3,3,7,1,1,1,4,3,1,5,1,1.00 
4,12,14,2,2,2,5,6,1,5,1,1.00 
4,15,16,1,1,1,6,3,1,6,1,1.00 
5,4,9,2,1,4,3,6,5,2,1,0.00 
3,9,5,1,4,1,9,3,5,4,1,0.00 
4,3,7,1,1,1,9,3,1,4,1,0.00 
5,4,9,2,1,2,1,6,1,4,1,0.00 
5,1,13,1,5,1,1,3,1,4,1,0.00 
1,4,9,1,1,3,2,2,1,4,1,0.00 
5,2,10,1,9,1,9,3,2,6,11,1.00 
3,4,9,1,1,2,5,4,1,8,1,1.00 
4,4,9,1,1,1,2,3,1,4,1,0.00 
2,7,12,1,5,3,9,4,1,6,1,1.00 
2,2,10,1,1,3,4,2,5,5,1,1.00 
4,1,13,1,1,2,5,2,1,4,1,0.00 
3,2,10,1,4,1,9,2,1,4,1,0.00 
2,2,10,1,6,1,3,3,5,2,1,0.00 
4,3,7,1,1,3,8,6,1,4,4,0.00 
2,2,10,1,1,3,8,2,1,4,1,0.00 
1,4,9,2,1,7,9,1,1,3,1,0.00 
3,2,10,1,1,1,4,3,1,4,1,0.00 
